Wed Jul 14 16:50:41 2021 | marcom: C:/Users/marcom/Desktop/CCXXYYYIO01 - Rev.0.xlsx
Wed Jul 14 16:50:51 2021 | marcom: C:/Users/marcom/Desktop/CCXXYYYIO01 - Rev.0.xlsx
Wed Jul 14 16:51:11 2021 | marcom: C:/Users/marcom/Desktop/CCXXYYYIO01 - Rev.0.xlsx
Wed Jul 14 16:52:45 2021 | marcom: "Errore: (IOLIST) nessun file o sheet excel selezionati.
Wed Jul 14 17:00:55 2021 | marcom: C:/Users/marcom/Desktop/CCXXYYYIO01 - Rev.0.xlsx
Wed Jul 14 17:02:21 2021 | marcom: C:/Users/marcom/Desktop/CCXXYYYIO01 - Rev.0.xlsx
Wed Jul 14 17:02:29 2021 | marcom: Errore: Foglio IOLIST non compatibile.
Wed Jul 14 17:02:46 2021 | marcom: ERROR AFTER SIGNAL:
%% - AI2 - Spare %% %% - 722
Wed Jul 14 17:02:53 2021 | marcom: ERROR AFTER SIGNAL:
%% - AI2 - Spare %% %% - 722
Wed Jul 14 17:03:27 2021 | marcom: C:/Users/marcom/Desktop/CCXXYYYIO01 - Rev.0.xlsx
Wed Jul 14 17:08:44 2021 | marcom: C:/Users/marcom/Desktop/CCXXYYYIO01 - Rev.0.xlsx
Wed Jul 14 17:08:59 2021 | marcom: Errore: Foglio IOLIST non compatibile.
Wed Jul 14 17:09:12 2021 | marcom: Errore: Foglio IOLIST non compatibile.
Tue Sep 14 11:59:41 2021 | marcom: C:/Users/marcom/Desktop/EN21040IO01 - Rev.1 - APERTA.xlsx
Tue Sep 14 11:59:45 2021 | marcom: Errore: Foglio IOLIST non compatibile.
Tue Sep 14 12:01:03 2021 | marcom: C:/Users/marcom/Desktop/EN21040IO01 - Rev.1 - APERTA.xlsx
Tue Sep 14 12:04:09 2021 | marcom: C:/Users/marcom/Desktop/EN21040IO01 - Rev.1 - APERTA.xlsx
Tue Sep 14 12:05:02 2021 | marcom: C:/Users/marcom/Desktop/EN21010IO01.xlsx
Tue Sep 14 12:06:36 2021 | marcom: M:/Com-2021/ENERPROJECT/EN21030 (GSI)/Doc SEID/IO - PLC Hardware IO List/EN21030IO01 (465) - Rev.0.xlsx
Tue Sep 14 14:15:09 2021 | marcom: M:/Com-2021/ENERPROJECT/EN21030 (GSI)/Doc SEID/IO - PLC Hardware IO List/EN21030IO02 (466) - Rev.0.xlsx
Tue Sep 14 14:16:09 2021 | marcom: C:/Users/marcom/Desktop/EN21010IO01.xlsx
Thu Sep 16 14:20:21 2021 | marcom: C:/Users/marcom/Desktop/EN21010IO01.xlsx
Fri Sep 17 17:16:52 2021 | barzasi: M:/Com-2021/ENERPROJECT/EN21040 (USA)/Doc SEID/IO - PLC Hardware IO List/EN21040IO01 - Rev.1 - APERTA.xlsx
Mon Sep 20 15:33:59 2021 | barzasi: M:/Com-2021/ENERPROJECT/EN21040 (USA)/Doc SEID/IO - PLC Hardware IO List/EN21040IO01 - Rev.1 - APERTA.xlsx
