DateD_PO|ManufacturerID|Note|ProductType|Commessa|DateD|ID|Tag|SerialN
01-Mar-2021|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'MI20010', 'ID': '3343883000000762011'}||3343883000000761856||MI20010-01
20-Oct-2020||Sistema PLC + HMI Bartec|{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'NE20020', 'ID': '3343883000000749007'}||3343883000000749056||NE20010-02
20-Oct-2020||Sistema PLC + HMI Bartec|{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'NE20020', 'ID': '3343883000000749007'}||3343883000000749056||NE20020-01
20-Oct-2020|||{'display_value': 'Engineering Station / SCADA', 'ID': '3343883000000303018'}|{'display_value': 'NE20020', 'ID': '3343883000000749007'}||3343883000000749056||NE20020-ES01
21-Jan-2021||Engineering Station + antivirus|{'display_value': 'Engineering Station / SCADA', 'ID': '3343883000000303018'}|{'display_value': 'BC20120', 'ID': '3343883000000722007'}||3343883000000721920||BC20120-ES01
21-Jan-2021|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'BC20120', 'ID': '3343883000000722007'}||3343883000000721920||BC20120-01
21-Sep-2020|||{'display_value': 'Engineering Station / SCADA', 'ID': '3343883000000303018'}|{'display_value': 'EN20010', 'ID': '3343883000000716003'}||3343883000000715776||EN20010-01
09-Oct-2020|||{'display_value': 'Engineering Station / SCADA', 'ID': '3343883000000303018'}|{'display_value': 'NE19030', 'ID': '3343883000000227935'}||3343883000000700928||NE19030-ES01
|||{'display_value': 'Engineering Station / SCADA', 'ID': '3343883000000303018'}|{'display_value': 'TF19010', 'ID': '3343883000000228285'}||3343883000000692224||TF19010-OWS
|||{'display_value': 'Engineering Station / SCADA', 'ID': '3343883000000303018'}|{'display_value': 'TF19010', 'ID': '3343883000000228285'}||3343883000000692224||TF19010-EWS
|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'TF19010', 'ID': '3343883000000228285'}||3343883000000692224||TF19010-01
|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'IU20030', 'ID': '3343883000000675003'}||3343883000000674816||IU20030-03
|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'IU20030', 'ID': '3343883000000675003'}||3343883000000674816||IU20030-02
|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'IU20030', 'ID': '3343883000000675003'}||3343883000000674816||IU20030-01
|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'Iu20040', 'ID': '3343883000000644003'}||3343883000000644096||Iu20040-01
|||{'display_value': 'Engineering Station / SCADA', 'ID': '3343883000000303018'}|{'display_value': 'GP19010', 'ID': '3343883000000227250'}||3343883000000631296||GP19010-ES01
|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'GP19010', 'ID': '3343883000000227250'}||3343883000000630784||GP19010-05
|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'GP19010', 'ID': '3343883000000227250'}||3343883000000630784||GP19010-04
|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'GP19010', 'ID': '3343883000000227250'}||3343883000000630784||GP19010-03
